"Classificação","Código do
Insumo","Descrição do Insumo","Unidade","Origem de Preço","AC","AL","AM","AP","BA","CE","DF","ES","GO","MA","MG","MS","MT","PA","PB","PE","PI","PR","RJ","RN","RO","RR","RS","SC","SE","SP","TO"
"MATERIAL","12893","BOTA DE SEGURANCA COM BIQUEIRA DE ACO E COLARINHO ACOLCHOADO","PAR","CR","83.57","82.14","83.51","98.57","79.95","85.59","73.54","72.29","69.11","75.41","81.6","80.5","105.86","98.74","94.19","83.79","103.39","92.55","98.57","70.64","87.62","105.09","92.55","87.18","73.93","83.51","90.52"
"MATERIAL","11685","BRACO / CANO PARA CHUVEIRO ELETRICO, EM ALUMINIO, 30 CM X 1/2""","UN","CR","23.99","","","35.25","24.05","37.98","23.1","35.33","35.16","40.33","35.57","53.93","30.71","25.98","","40.02","33.28","43.64","32.92","45.08","33.27","37.19","50.83","30.7","36.3","32.18",""
"MATERIAL","11680","BRACO OU HASTE COM CANOPLA PLASTICA, 1/2"", PARA CHUVEIRO SIMPLES","UN","CR","18.82","14.82","17.37","20.45","15.36","21.79","24.58","19.29","18.76","20.08","18.82","17.28","19.68","19.61","14.15","16.24","17.12","17.18","24.23","21.23","17.32","15.58","17.45","17.4","14.56","16.89","18.11"
"MATERIAL","11679","BRACO OU HASTE RETA COM CANOPLA PLASTICA, 1/2"", PARA CHUVEIRO ELETRICO","UN","CR","25.51","20.09","23.56","27.72","20.83","29.54","33.33","26.15","25.44","27.22","25.52","23.43","26.68","26.6","19.19","22.02","23.22","23.3","32.85","28.79","23.48","21.13","23.65","23.59","19.75","22.9","24.55"
"MATERIAL","2512","BRACO P/ LUMINARIA PUBLICA 1 X 1,50M ROMAGNOLE OU EQUIV","UN","CR","","","36.49","","","","","","","","","","42.97","","","","","","24.63","35.81","","","","","","35.71",""
"MATERIAL","45203","BROCHA RETANGULAR, *15 X 5* CM","UN","CR","8.5","7.42","5.76","7.31","7.26","6.31","8.85","8.1","7.64","9.26","9.85","11.73","9.97","7.52","6.86","7.28","8.22","7.79","7.53","7.04","8.72","6.2","8.85","8.81","7.53","9.3","10.2"
"MATERIAL","4374","BUCHA DE NYLON SEM ABA S10","UN","CR","0.37","0.37","0.37","0.37","0.37","0.51","0.74","0.37","0.48","0.37","0.37","0.22","0.37","0.66","0.4","0.59","0.37","0.29","0.37","0.66","0.33","0.48","0.74","0.37","0.22","0.18","0.29"
"MATERIAL","7568","BUCHA DE NYLON SEM ABA S10, COM PARAFUSO DE 6,10 X 65 MM EM ACO ZINCADO COM ROSCA SOBERBA, CABECA CHATA E FENDA PHILLIPS","UN","CR","0.61","0.61","0.61","0.61","0.61","0.86","1.22","0.61","0.79","0.61","0.61","0.36","0.61","1.1","0.67","0.98","0.61","0.49","0.61","1.1","0.55","0.79","1.22","0.61","0.36","0.3","0.49"
"MATERIAL","7584","BUCHA DE NYLON SEM ABA S12, COM PARAFUSO DE 5/16"" X 80 MM EM ACO ZINCADO COM ROSCA SOBERBA E CABECA SEXTAVADA","UN","CR","0.93","0.93","0.93","0.93","0.93","1.31","1.87","0.93","1.21","0.93","0.93","0.56","0.93","1.68","1.02","1.49","0.93","0.74","0.93","1.68","0.84","1.21","1.87","0.93","0.56","0.46","0.74"
"MATERIAL","11945","BUCHA DE NYLON SEM ABA S4","UN","CR","0.06","0.06","0.06","0.06","0.06","0.08","0.12","0.06","0.07","0.06","0.06","0.03","0.06","0.11","0.06","0.09","0.06","0.04","0.06","0.11","0.05","0.07","0.12","0.06","0.03","0.03","0.04"
"MATERIAL","11946","BUCHA DE NYLON SEM ABA S5","UN","CR","0.06","0.06","0.06","0.06","0.06","0.09","0.13","0.06","0.09","0.06","0.06","0.04","0.06","0.12","0.07","0.11","0.06","0.05","0.06","0.12","0.06","0.09","0.13","0.06","0.04","0.03","0.05"
"MATERIAL","4375","BUCHA DE NYLON SEM ABA S6","UN","C","0.1","0.1","0.1","0.1","0.1","0.14","0.2","0.1","0.13","0.1","0.1","0.06","0.1","0.18","0.11","0.16","0.1","0.08","0.1","0.18","0.09","0.13","0.2","0.1","0.06","0.05","0.08"
"MATERIAL","11950","BUCHA DE NYLON SEM ABA S6, COM PARAFUSO DE 4,20 X 40 MM EM ACO ZINCADO COM ROSCA SOBERBA, CABECA CHATA E FENDA PHILLIPS","UN","CR","0.2","0.2","0.2","0.2","0.2","0.28","0.41","0.2","0.26","0.2","0.2","0.12","0.2","0.37","0.22","0.33","0.2","0.16","0.2","0.37","0.18","0.26","0.41","0.2","0.12","0.1","0.16"
"MATERIAL","4376","BUCHA DE NYLON SEM ABA S8","UN","CR","0.19","0.19","0.19","0.19","0.19","0.27","0.39","0.19","0.25","0.19","0.19","0.11","0.19","0.35","0.21","0.31","0.19","0.15","0.19","0.35","0.17","0.25","0.39","0.19","0.11","0.09","0.15"
"MATERIAL","7583","BUCHA DE NYLON SEM ABA S8, COM PARAFUSO DE 4,80 X 50 MM EM ACO ZINCADO COM ROSCA SOBERBA, CABECA CHATA E FENDA PHILLIPS","UN","CR","0.41","0.41","0.41","0.41","0.41","0.58","0.83","0.41","0.54","0.41","0.41","0.25","0.41","0.75","0.46","0.67","0.41","0.33","0.41","0.75","0.37","0.54","0.83","0.41","0.25","0.2","0.33"
"MATERIAL","4350","BUCHA DE NYLON, DIAMETRO DO FURO 8 MM, COMPRIMENTO 40 MM, COM PARAFUSO DE ROSCA SOBERBA, CABECA CHATA, FENDA SIMPLES, 4,8 X 50 MM","UN","CR","","0.67","","0.85","0.73","0.88","","0.62","","","0.82","0.71","0.66","0.81","","0.99","","0.58","0.85","0.65","0.73","","","0.79","","0.59",""
"MATERIAL","44400","BUCHA DE REDUCAO CPVC, SOLDAVEL, 54 X 28 MM, PARA AGUA QUENTE","UN","CR","36.21","","","","31.76","31.04","31.73","39.12","30.29","","34.27","39.87","35.28","31.92","","","","33.22","31.04","29.41","37.68","","38.11","31.54","","33.01",""
"MATERIAL","39886","BUCHA DE REDUCAO DE COBRE SEM ANEL DE SOLDA, PONTA X BOLSA, 22 X 15 MM","UN","CR","","","","","","","10.07","","","","","","","","","","","","","","","","","","","6.3",""
"MATERIAL","39887","BUCHA DE REDUCAO DE COBRE SEM ANEL DE SOLDA, PONTA X BOLSA, 28 X 22 MM","UN","CR","","","","","","","15.11","","","","","","","","","","","","","","","","","","","9.46",""
"MATERIAL","39888","BUCHA DE REDUCAO DE COBRE SEM ANEL DE SOLDA, PONTA X BOLSA, 35 X 28 MM","UN","CR","","","","","","","34.54","","","","","","","","","","","","","","","","","","","21.63",""
"MATERIAL","39890","BUCHA DE REDUCAO DE COBRE SEM ANEL DE SOLDA, PONTA X BOLSA, 42 X 35 MM","UN","CR","","","","","","","58.96","","","","","","","","","","","","","","","","","","","36.92",""
"MATERIAL","39891","BUCHA DE REDUCAO DE COBRE SEM ANEL DE SOLDA, PONTA X BOLSA, 54 X 42 MM","UN","CR","","","","","","","83.14","","","","","","","","","","","","","","","","","","","52.06",""
"MATERIAL","39892","BUCHA DE REDUCAO DE COBRE SEM ANEL DE SOLDA, PONTA X BOLSA, 66 X 54 MM","UN","CR","","","","","","","259.14","","","","","","","","","","","","","","","","","","","162.29",""
"MATERIAL","790","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 1 1/2"" X 1 1/4""","UN","CR","21.47","","","","18.62","","","21.62","","","20.69","23.32","16.8","21.72","","","17.75","","","","16.55","","20.98","","","21.58","20.05"
"MATERIAL","791","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 1 1/2"" X 1""","UN","CR","21.47","","","","18.62","","","21.62","","","20.69","23.32","16.8","21.72","","","17.75","","","","16.55","","20.98","","","21.58","20.05"
"MATERIAL","766","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 1 1/2"" X 1/2""","UN","CR","21.47","","","","18.62","","","21.62","","","20.69","23.32","16.8","21.72","","","17.75","","","","16.55","","20.98","","","21.58","20.05"
"MATERIAL","767","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 1 1/2"" X 3/4""","UN","CR","21.47","","","","18.62","","","21.62","","","20.69","23.32","16.8","21.72","","","17.75","","","","16.55","","20.98","","","21.58","20.05"
"MATERIAL","789","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 1 1/4"" X 1""","UN","CR","16.5","","","","14.31","","","16.62","","","15.9","17.92","12.91","16.7","","","13.64","","","","12.72","","16.12","","","16.58","15.41"
"MATERIAL","768","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 1 1/4"" X 1/2""","UN","CR","16.86","","","","14.62","","","16.98","","","16.25","18.31","13.19","17.06","","","13.94","","","","13.0","","16.47","","","16.95","15.74"
"MATERIAL","769","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 1 1/4"" X 3/4""","UN","CR","16.86","","","","14.62","","","16.98","","","16.25","18.31","13.19","17.06","","","13.94","","","","13.0","","16.47","","","16.95","15.74"
"MATERIAL","764","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 1"" X 1/2""","UN","C","10.38","","","","9.0","","","10.45","","","10.0","11.27","8.12","10.5","","","8.58","","","","8.0","","10.14","","","10.43","9.69"
"MATERIAL","765","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 1"" X 3/4""","UN","CR","10.38","","","","9.0","","","10.45","","","10.0","11.27","8.12","10.5","","","8.58","","","","8.0","","10.14","","","10.43","9.69"
"MATERIAL","770","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 1/2"" X 1/4""","UN","CR","5.95","","","","5.16","","","5.99","","","5.73","6.46","4.65","6.02","","","4.92","","","","4.59","","5.81","","","5.98","5.56"
"MATERIAL","12394","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 1/2"" X 3/8""","UN","CR","5.95","","","","5.16","","","5.99","","","5.73","6.46","4.65","6.02","","","4.92","","","","4.59","","5.81","","","5.98","5.56"
"MATERIAL","787","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 2 1/2"" X 1 1/2""","UN","CR","46.37","","","","40.2","","","46.68","","","44.67","50.34","36.27","46.9","","","38.32","","","","35.73","","45.29","","","46.59","43.28"
"MATERIAL","774","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 2 1/2"" X 1 1/4""","UN","CR","46.37","","","","40.2","","","46.68","","","44.67","50.34","36.27","46.9","","","38.32","","","","35.73","","45.29","","","46.59","43.28"
"MATERIAL","773","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 2 1/2"" X 1""","UN","CR","46.37","","","","40.2","","","46.68","","","44.67","50.34","36.27","46.9","","","38.32","","","","35.73","","45.29","","","46.59","43.28"
"MATERIAL","775","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 2 1/2"" X 2""","UN","CR","46.37","","","","40.2","","","46.68","","","44.67","50.34","36.27","46.9","","","38.32","","","","35.73","","45.29","","","46.59","43.28"
"MATERIAL","788","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 2"" X 1 1/2""","UN","CR","28.82","","","","24.98","","","29.01","","","27.76","31.29","22.54","29.15","","","23.82","","","","22.21","","28.15","","","28.96","26.9"
"MATERIAL","772","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 2"" X 1 1/4""","UN","CR","28.82","","","","24.98","","","29.01","","","27.76","31.29","22.54","29.15","","","23.82","","","","22.21","","28.15","","","28.96","26.9"
"MATERIAL","771","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 2"" X 1""","UN","CR","28.82","","","","24.98","","","29.01","","","27.76","31.29","22.54","29.15","","","23.82","","","","22.21","","28.15","","","28.96","26.9"
"MATERIAL","776","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 3"" X 1 1/2""","UN","CR","68.35","","","","59.26","","","68.81","","","65.85","74.21","53.47","69.14","","","56.5","","","","52.68","","66.77","","","68.68","63.81"
"MATERIAL","777","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 3"" X 1 1/4""","UN","CR","66.45","","","","57.61","","","66.89","","","64.01","72.14","51.98","67.21","","","54.92","","","","51.21","","64.91","","","66.77","62.03"
"MATERIAL","780","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 3"" X 2 1/2""","UN","CR","66.78","","","","57.9","","","67.23","","","64.33","72.5","52.24","67.55","","","55.2","","","","51.47","","65.23","","","67.1","62.34"
"MATERIAL","778","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 3"" X 2""","UN","CR","68.35","","","","59.26","","","68.81","","","65.85","74.21","53.47","69.14","","","56.5","","","","52.68","","66.77","","","68.68","63.81"
"MATERIAL","779","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 3/4"" X 1/2""","UN","CR","7.16","","","","6.21","","","7.21","","","6.9","7.78","5.6","7.25","","","5.92","","","","5.52","","7.0","","","7.2","6.69"
"MATERIAL","781","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 4"" X 2 1/2""","UN","CR","126.29","","","","109.5","","","127.14","","","121.66","137.12","98.79","127.75","","","104.39","","","","97.33","","123.37","","","126.9","117.89"
"MATERIAL","786","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 4"" X 2""","UN","CR","126.29","","","","109.5","","","127.14","","","121.66","137.12","98.79","127.75","","","104.39","","","","97.33","","123.37","","","126.9","117.89"
"MATERIAL","782","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 4"" X 3""","UN","CR","126.29","","","","109.5","","","127.14","","","121.66","137.12","98.79","127.75","","","104.39","","","","97.33","","123.37","","","126.9","117.89"
"MATERIAL","783","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 5"" X 4""","UN","CR","345.64","","","","299.69","","","347.97","","","332.99","375.28","270.38","349.64","","","285.7","","","","266.39","","337.65","","","347.3","322.66"
"MATERIAL","785","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 6"" X 4""","UN","CR","365.2","","","","316.65","","","367.66","","","351.83","396.51","285.69","369.42","","","301.87","","","","281.46","","356.76","","","366.96","340.92"
"MATERIAL","784","BUCHA DE REDUCAO DE FERRO GALVANIZADO, COM ROSCA BSP, DE 6"" X 5""","UN","CR","391.77","","","","339.68","","","394.41","","","377.43","425.36","306.47","396.3","","","323.83","","","","301.94","","382.71","","","393.66","365.73"
"MATERIAL","828","BUCHA DE REDUCAO DE PVC, SOLDAVEL, CURTA, COM 25 X 20 MM, PARA AGUA FRIA PREDIAL","UN","CR","0.7","0.59","0.58","0.52","0.56","0.62","0.7","0.79","0.69","0.58","0.61","0.66","0.58","0.71","0.59","0.55","0.61","0.55","0.63","0.55","0.65","0.55","0.71","0.56","0.59","0.66","0.64"
"MATERIAL","829","BUCHA DE REDUCAO DE PVC, SOLDAVEL, CURTA, COM 32 X 25 MM, PARA AGUA FRIA PREDIAL","UN","CR","1.12","0.96","0.94","0.84","0.9","0.99","1.12","1.28","1.1","0.94","0.98","1.06","0.93","1.14","0.95","0.89","0.98","0.88","1.01","0.88","1.04","0.89","1.14","0.91","0.96","1.06","1.03"
"MATERIAL","812","BUCHA DE REDUCAO DE PVC, SOLDAVEL, CURTA, COM 40 X 32 MM, PARA AGUA FRIA PREDIAL","UN","CR","2.47","2.11","2.07","1.85","1.99","2.19","2.47","2.82","2.44","2.07","2.17","2.35","2.05","2.52","2.09","1.97","2.15","1.95","2.24","1.94","2.3","1.97","2.52","2.0","2.11","2.33","2.27"
"MATERIAL","819","BUCHA DE REDUCAO DE PVC, SOLDAVEL, CURTA, COM 50 X 40 MM, PARA AGUA FRIA PREDIAL","UN","CR","4.29","3.67","3.59","3.21","3.45","3.8","4.29","4.89","4.23","3.59","3.76","4.07","3.55","4.38","3.62","3.43","3.74","3.38","3.89","3.38","3.99","3.42","4.38","3.47","3.67","4.04","3.95"
"MATERIAL","818","BUCHA DE REDUCAO DE PVC, SOLDAVEL, CURTA, COM 60 X 50 MM, PARA AGUA FRIA PREDIAL","UN","CR","8.01","6.85","6.7","5.99","6.45","7.09","8.01","9.13","7.9","6.7","7.03","7.6","6.63","8.18","6.76","6.4","6.98","6.32","7.26","6.3","7.45","6.39","8.18","6.48","6.85","7.55","7.37"
"MATERIAL","20086","BUCHA DE REDUCAO DE PVC, SOLDAVEL, LONGA, 50 X 40 MM, PARA ESGOTO PREDIAL","UN","CR","3.43","3.0","2.73","2.41","2.73","3.1","3.35","4.05","3.42","2.86","3.45","3.43","3.23","3.21","3.0","2.58","2.98","2.97","3.34","3.0","3.68","2.79","3.52","3.07","2.93","3.35","2.9"
"MATERIAL","832","BUCHA DE REDUCAO DE PVC, SOLDAVEL, LONGA, COM 32 X 20 MM, PARA AGUA FRIA PREDIAL","UN","CR","3.31","2.82","2.76","2.47","2.66","2.93","3.31","3.77","3.26","2.76","2.9","3.14","2.74","3.37","2.79","2.64","2.88","2.61","2.99","2.6","3.08","2.63","3.37","2.68","2.82","3.12","3.04"
"MATERIAL","834","BUCHA DE REDUCAO DE PVC, SOLDAVEL, LONGA, COM 40 X 25 MM, PARA AGUA FRIA PREDIAL","UN","CR","4.28","3.66","3.58","3.2","3.45","3.79","4.28","4.88","4.22","3.58","3.76","4.06","3.54","4.37","3.61","3.42","3.73","3.38","3.88","3.37","3.98","3.41","4.37","3.47","3.66","4.04","3.94"
"MATERIAL","813","BUCHA DE REDUCAO DE PVC, SOLDAVEL, LONGA, COM 50 X 25 MM, PARA AGUA FRIA PREDIAL","UN","CR","4.98","4.26","4.17","3.73","4.01","4.41","4.98","5.68","4.91","4.17","4.37","4.73","4.12","5.09","4.21","3.98","4.34","3.93","4.51","3.92","4.64","3.97","5.09","4.03","4.26","4.7","4.58"
"MATERIAL","820","BUCHA DE REDUCAO DE PVC, SOLDAVEL, LONGA, COM 50 X 32 MM, PARA AGUA FRIA PREDIAL","UN","CR","6.71","5.73","5.61","5.02","5.4","5.94","6.71","7.65","6.61","5.61","5.88","6.37","5.55","6.85","5.66","5.36","5.84","5.29","6.08","5.28","6.24","5.35","6.85","5.43","5.73","6.32","6.17"
"MATERIAL","816","BUCHA DE REDUCAO DE PVC, SOLDAVEL, LONGA, COM 60 X 25 MM, PARA AGUA FRIA PREDIAL","UN","CR","11.96","10.22","10.0","8.94","9.63","10.58","11.96","13.62","11.79","10.0","10.49","11.34","9.9","12.2","10.09","9.56","10.41","9.43","10.83","9.41","11.12","9.53","12.2","9.68","10.22","11.27","11.0"
"MATERIAL","814","BUCHA DE REDUCAO DE PVC, SOLDAVEL, LONGA, COM 60 X 32 MM, PARA AGUA FRIA PREDIAL","UN","CR","14.85","12.69","12.42","11.11","11.96","13.15","14.85","16.92","14.64","12.42","13.03","14.09","12.29","15.16","12.54","11.87","12.93","11.72","13.45","11.69","13.82","11.84","15.16","12.02","12.69","14.0","13.66"
"MATERIAL","822","BUCHA DE REDUCAO DE PVC, SOLDAVEL, LONGA, COM 60 X 50 MM, PARA AGUA FRIA PREDIAL","UN","CR","19.39","16.57","16.21","14.5","15.61","17.16","19.39","22.09","19.11","16.21","17.01","18.4","16.05","19.79","16.37","15.5","16.89","15.3","17.56","15.26","18.04","15.46","19.79","15.69","16.57","18.28","17.84"
"MATERIAL","821","BUCHA DE REDUCAO DE PVC, SOLDAVEL, LONGA, COM 75 X 50 MM, PARA AGUA FRIA PREDIAL","UN","CR","22.18","18.95","18.54","16.59","17.86","19.63","22.18","25.27","21.86","18.54","19.45","21.04","18.36","22.63","18.72","17.72","19.31","17.49","20.09","17.45","20.63","17.68","22.63","17.95","18.95","20.9","20.4"
"MATERIAL","39191","BUCHA DE REDUCAO EM ALUMINIO, COM ROSCA, DE 1 1/2"" X 1 1/4"", PARA ELETRODUTO","UN","CR","","20.03","24.39","20.32","23.43","","18.32","23.51","18.36","27.43","27.93","20.96","21.55","22.83","17.87","21.77","19.59","24.65","20.64","18.93","20.32","","21.82","19.16","28.31","22.21",""
"MATERIAL","39190","BUCHA DE REDUCAO EM ALUMINIO, COM ROSCA, DE 1 1/2"" X 1"", PARA ELETRODUTO","UN","CR","","20.92","25.47","21.23","24.47","","19.13","24.56","19.18","28.66","29.17","21.89","22.52","23.85","18.66","22.74","20.47","25.75","21.56","19.77","21.23","","22.79","20.01","29.57","23.2",""
"MATERIAL","39189","BUCHA DE REDUCAO EM ALUMINIO, COM ROSCA, DE 1 1/2"" X 3/4"", PARA ELETRODUTO","UN","CR","","22.14","26.96","22.47","25.9","","20.25","26.0","20.3","30.33","30.88","23.17","23.83","25.24","19.75","24.07","21.66","27.25","22.82","20.92","22.47","","24.12","21.18","31.29","24.55",""
"MATERIAL","39188","BUCHA DE REDUCAO EM ALUMINIO, COM ROSCA, DE 1 1/4"" X 1"", PARA ELETRODUTO","UN","CR","","16.3","19.85","16.54","19.07","","14.91","19.14","14.94","22.33","22.73","17.06","17.54","18.58","14.54","17.72","15.95","20.06","16.8","15.4","16.54","","17.76","15.59","23.04","18.07",""
"MATERIAL","39186","BUCHA DE REDUCAO EM ALUMINIO, COM ROSCA, DE 1 1/4"" X 1/2"", PARA ELETRODUTO","UN","CR","","19.81","24.12","20.1","23.17","","18.12","23.26","18.16","27.14","27.62","20.73","21.32","22.58","17.67","21.54","19.38","24.38","20.42","18.72","20.1","","21.58","18.95","28.0","21.97",""
"MATERIAL","39187","BUCHA DE REDUCAO EM ALUMINIO, COM ROSCA, DE 1 1/4"" X 3/4"", PARA ELETRODUTO","UN","CR","","17.09","20.8","17.33","19.99","","15.63","20.06","15.66","23.4","23.82","17.88","18.39","19.48","15.24","18.57","16.72","21.03","17.61","16.15","17.33","","18.61","16.34","24.15","18.94",""
"MATERIAL","39184","BUCHA DE REDUCAO EM ALUMINIO, COM ROSCA, DE 1"" X 1/2"", PARA ELETRODUTO","UN","CR","","6.43","7.82","6.52","7.52","","5.88","7.54","5.89","8.8","8.96","6.72","6.92","7.33","5.73","6.99","6.29","7.91","6.62","6.07","6.52","","7.0","6.15","9.08","7.13",""
"MATERIAL","39185","BUCHA DE REDUCAO EM ALUMINIO, COM ROSCA, DE 1"" X 3/4"", PARA ELETRODUTO","UN","CR","","5.86","7.13","5.94","6.85","","5.36","6.88","5.37","8.03","8.17","6.13","6.31","6.68","5.23","6.37","5.73","7.21","6.04","5.54","5.94","","6.38","5.6","8.28","6.5",""
"MATERIAL","39198","BUCHA DE REDUCAO EM ALUMINIO, COM ROSCA, DE 2 1/2"" X 1 1/2"", PARA ELETRODUTO","UN","CR","","65.71","80.0","66.67","76.86","","60.09","77.14","60.24","90.0","91.62","68.76","70.71","74.91","58.62","71.43","64.29","80.86","67.71","62.09","66.67","","71.57","62.86","92.86","72.86",""
"MATERIAL","39197","BUCHA DE REDUCAO EM ALUMINIO, COM ROSCA, DE 2 1/2"" X 1 1/4"", PARA ELETRODUTO","UN","CR","","68.65","83.57","69.64","80.29","","62.78","80.59","62.93","94.02","95.71","71.83","73.87","78.25","61.23","74.62","67.15","84.47","70.74","64.87","69.64","","74.77","65.66","97.0","76.11",""
"MATERIAL","39196","BUCHA DE REDUCAO EM ALUMINIO, COM ROSCA, DE 2 1/2"" X 1"", PARA ELETRODUTO","UN","CR","","70.79","86.18","71.82","82.8","","64.74","83.11","64.89","96.96","98.7","74.08","76.18","80.7","63.15","76.95","69.25","87.11","72.95","66.89","71.82","","77.1","67.72","100.04","78.49",""
"MATERIAL","39199","BUCHA DE REDUCAO EM ALUMINIO, COM ROSCA, DE 2 1/2"" X 2"", PARA ELETRODUTO","UN","CR","","63.24","76.99","64.16","73.96","","57.83","74.24","57.97","86.61","88.17","66.17","68.05","72.08","56.41","68.74","61.86","77.81","65.16","59.76","64.16","","68.88","60.49","89.36","70.11",""
"MATERIAL","39195","BUCHA DE REDUCAO EM ALUMINIO, COM ROSCA, DE 2"" X 1 1/2"", PARA ELETRODUTO","UN","CR","","36.5","44.44","37.03","42.69","","33.38","42.85","33.46","49.99","50.89","38.19","39.28","41.61","32.56","39.68","35.71","44.91","37.61","34.49","37.03","","39.75","34.91","51.58","40.47",""
"MATERIAL","39194","BUCHA DE REDUCAO EM ALUMINIO, COM ROSCA, DE 2"" X 1 1/4"", PARA ELETRODUTO","UN","CR","","39.06","47.56","39.63","45.69","","35.72","45.86","35.81","53.5","54.46","40.87","42.03","44.53","34.84","42.46","38.21","48.06","40.25","36.91","39.63","","42.54","37.36","55.2","43.31",""
"MATERIAL","39193","BUCHA DE REDUCAO EM ALUMINIO, COM ROSCA, DE 2"" X 1"", PARA ELETRODUTO","UN","CR","","42.81","52.12","43.43","50.07","","39.15","50.26","39.24","58.64","59.69","44.8","46.07","48.8","38.19","46.54","41.88","52.68","44.12","40.45","43.43","","46.63","40.95","60.5","47.47",""
"MATERIAL","39192","BUCHA DE REDUCAO EM ALUMINIO, COM ROSCA, DE 2"" X 3/4"", PARA ELETRODUTO","UN","CR","","44.53","54.22","45.18","52.09","","40.73","52.28","40.82","60.99","62.09","46.6","47.92","50.76","39.73","48.41","43.57","54.8","45.89","42.08","45.18","","48.5","42.6","62.93","49.38",""
"MATERIAL","39201","BUCHA DE REDUCAO EM ALUMINIO, COM ROSCA, DE 3"" X 1 1/2"", PARA ELETRODUTO","UN","CR","","78.57","95.65","79.7","91.89","","71.85","92.23","72.02","107.6","109.54","82.21","84.54","89.55","70.08","85.4","76.86","96.67","80.96","74.24","79.7","","85.57","75.15","111.02","87.11",""
"MATERIAL","39200","BUCHA DE REDUCAO EM ALUMINIO, COM ROSCA, DE 3"" X 1 1/4"", PARA ELETRODUTO","UN","CR","","79.2","96.42","80.35","92.63","","72.43","92.97","72.6","108.47","110.42","82.87","85.22","90.27","70.65","86.09","77.48","97.45","81.61","74.84","80.35","","86.26","75.75","111.91","87.81",""
"MATERIAL","39203","BUCHA DE REDUCAO EM ALUMINIO, COM ROSCA, DE 3"" X 2 1/2"", PARA ELETRODUTO","UN","CR","","63.95","77.85","64.87","74.79","","58.48","75.07","58.62","87.58","89.16","66.91","68.81","72.89","57.04","69.51","62.56","78.69","65.89","60.43","64.87","","69.65","61.17","90.36","70.9",""
"MATERIAL","39202","BUCHA DE REDUCAO EM ALUMINIO, COM ROSCA, DE 3"" X 2"", PARA ELETRODUTO","UN","CR","","75.12","91.45","76.21","87.86","","68.7","88.19","68.86","102.89","104.74","78.61","80.84","85.63","67.01","81.65","73.49","92.43","77.41","70.98","76.21","","81.82","71.85","106.15","83.29",""
"MATERIAL","39920","BUCHA DE REDUCAO EM ALUMINIO, COM ROSCA, DE 3/4"" X 1/2"", PARA ELETRODUTO","UN","CR","","5.39","6.56","5.47","6.31","","4.93","6.33","4.94","7.38","7.52","5.64","5.8","6.15","4.81","5.86","5.27","6.63","5.55","5.09","5.47","","5.87","5.16","7.62","5.98",""
"MATERIAL","39205","BUCHA DE REDUCAO EM ALUMINIO, COM ROSCA, DE 4"" X 2 1/2"", PARA ELETRODUTO","UN","CR","","125.33","152.58","127.15","146.58","","114.61","147.13","114.88","171.65","174.74","131.14","134.86","142.86","111.8","136.23","122.6","154.21","129.14","118.43","127.15","","136.5","119.88","177.1","138.95",""
